XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J000027.7-250442,0.336,3.81,0.045,0.043,3.72,0.018,0.019,44.21,0.11,0.16,44.34,0.11,0.16,8.63,0.1,0.12,8.39,0.07,0.09,8.63,0.1,0.12,8.68,-0.94,0.09,0.12,-1.93,0.13,0.17,-1.98,0.11542,-25.07861
J000031.7-245502,0.284,3.48,0.664,0.042,     ,0,0,44.28,0.12,0.48,44.17,0.13,0.48,8.02,1.32,0.25,     ,     ,     ,8.02,1.32,0.25,8.15,-1.05,0.11,0.33,-1.43,1.32,0.41,-1.56,0.13292,-24.91583
J000102.4-245850,0.433,3.73,0.067,0.062,3.66,0.033,0.017,43.57,0.14,0.16,43.79,0.15,0.15,8.16,0.15,0.14,7.93,0.09,0.09,8.16,0.15,0.14,8.26,-1.06,0.07,0.06,-1.58,0.17,0.15,-1.68,0.26,-24.98028
J001831.6+162925,0.553,     ,0,0,3.5,0.007,0.007,45.09,0.12,0.09,45.29,0.12,0.09,     ,     ,     ,8.54,0.06,0.05,8.54,0.06,0.05,8.92,0.06,0.1,0.09,-0.84,0.12,0.1,-1.22,4.63292,16.49056
J002618.5+105019,0.473,3.75,0.045,0.064,3.48,0.036,0.04,45.23,0.11,0.1,45.43,0.11,0.1,9.03,0.1,0.14,8.59,0.09,0.09,9.03,0.1,0.14,9.24,0.2,0.1,0.08,-1.19,0.14,0.16,-1.4,6.57793,10.83872
J002637.4+165953,0.554,3.42,0.05,0.238,3.72,0.019,0.02,44.92,0.12,0.15,45.06,0.11,0.16,8.21,0.11,0.41,8.83,0.07,0.09,8.21,0.11,0.41,8.63,-0.2,0.08,0.11,-0.77,0.14,0.42,-1.19,6.65625,16.99833
J003315.5-120700,1.206,     ,0,0,3.94,0.03,0.033,45.32,0.28,0.34,45.52,0.28,0.34,     ,     ,     ,9.56,0.16,0.18,9.56,0.16,0.18,9.67,0.4,0.21,0.19,-1.52,0.26,0.26,-1.63,8.31522,-12.11641
J003316.0-120456,0.66,     ,0,0,3.62,0.031,0.033,45.01,0.18,0.15,45.25,0.18,0.15,     ,     ,     ,8.76,0.11,0.1,8.76,0.11,0.1,9.09,0.19,0.16,0.14,-0.93,0.19,0.17,-1.26,8.31708,-12.08222
J003418.9-115940,0.85,     ,0,0,3.76,0.034,0.037,44.7,0.17,0.23,44.94,0.18,0.22,     ,     ,     ,8.84,0.11,0.13,8.84,0.11,0.13,9.03,-0.05,0.14,0.16,-1.25,0.18,0.21,-1.44,8.57937,-11.9941
J005009.9-515934,0.61,3.66,0.172,0.299,3.67,0.075,0.172,44.44,0.11,0.1,44.63,0.12,0.09,8.45,0.35,0.58,8.47,0.16,0.34,8.45,0.35,0.58,8.62,-0.48,0.08,0.06,-1.29,0.36,0.58,-1.46,12.54,-51.99222
