Name,1FGL,z,f_z,F5980,alpha,L5100,LHb,WHb,MHb,L3000,LMgII,WMgII,MMgII,Tel,_RA,_DE
J0004-4736,J0004.7-4737,0.88, ,11.4,-0.99,      ,      ,     ,     ,45.339,42.896,2700,7.85,NTT ,1.14867,-47.60517
J0008+1450,J0008.3+1452,0.045, ,73.8,-1.79,43.216,40.921,10800,8.19,      ,      ,    ,     ,SDSS,2.02345,14.83982
J0017-0512,J0017.4-0510,0.226, ,30.4,-0.46,44.353,42.388,2300,7.55,      ,      ,    ,     ,HET ,4.39925,-5.21158
J0024+0349,J0024.6+0346,0.545, ,27.1,-1.88,      ,      ,     ,     ,45.11,42.585,3000,7.76,WMKO,6.18841,3.81766
J0043+3426,J0043.6+3424,0.966, ,6.6,-1.24,      ,      ,     ,     ,45.201,42.807,3400,8.01,WMKO,10.95352,34.44059
J0050-0452,J0050.0-0446,0.922, ,7.7,-0.92,      ,      ,     ,     ,45.198,43.14,3300,8.2,HET ,12.58971,-4.87242
J0102+4214,J0102.2+4223,0.874, ,30.1,-1.63,46.001,43.46,1900,7.92,45.409,43.593,3300,8.49,WMKO,15.61313,42.23861
J0102+5824,J0102.8+5827,0.644, ,167,-1.25,      ,      ,     ,     ,46.093,43.449,4100,8.57,HET ,15.69068,58.40309
J0112+2244,J0112.0+2247,0.265, ,18.6,-2.71,      ,      ,     ,     ,      ,      ,    ,     ,HET ,18.02425,22.74411
J0113+1324,J0114.4+1327,0.685, ,15.2,-0.01,45.063,43.094,3800,8.35,45.263,43.389,4300,8.57,SDSS,18.47713,13.41458
J0116-1136,J0115.5-1132,0.671, ,20.8,-1.09,45.293,43.218,4600,8.57,44.948,43.663,5200,8.92,HET ,19.05217,-11.60428
J0202+0849,J0202.1+0849,0.629, ,12.6,-1.15,      ,      ,     ,     ,      ,      ,    ,     ,HET ,30.61,8.82028
J0203+3041,J0203.5+3044,0.955, ,0.3,-3.69,      ,      ,3900,     ,43.817,42.195,5400,8.02,WMKO,30.93898,30.69142
